 ,X,Y
1,332.324,233.674
2,317.312,61.125
3,279.600,67.700
4,294.000,71.500
5,255.750,88.250
6,256.500,96.444
7,220.540,106.260
8,327.500,135.167
9,354.250,238.188
10,287.142,243.865
11,305.935,244.326
12,374.731,244.885
13,266.400,252.067
14,390.000,272.500
15,416.389,277.000
16,378.929,319.586
17,363.450,340.250
18,367.227,350.955
19,386.200,351.800
20,225.556,422.111
21,236.548,465.815
22,357.306,218.565
23,340.604,272.255
24,305.421,273.119
25,332.153,307.903
26,305.549,319.097
27,330.300,314.180
28,320.462,318.179
29,330.375,314.250
